Gemeente,Totaal,NVA
Lovendegem,7162,1629
Zelzate,8941,869
De_Pinte,7681,1482
Geraardsbergen,23471,3519
Gent,159040,26064
Zomergem,6202,766
Kluisbergen,4784,659
Melle,8011,-1
Assenede,10323,1612
Sint-Niklaas,48873,13546
Maarkedal,4773,1233
Knesselare,5993,-1
Sint-Lievens-Houtem,7541,1141
Kaprijke,4658,1004
Horebeke,1526,409
Aalst,56966,17312
Wetteren,17986,3529
Lede,13410,3141
Oosterzele,10175,-1
Kruishoutem,6073,749
Denderleeuw,13563,3234
Sint-Laureins,5134,740
Waarschoot,5953,-1
Merelbeke,17123,3435
Kruibeke,11477,3707
Zingem,5447,1118
Destelbergen,13163,3362
Oudenaarde,22395,2813
Wortegem-Petegem,4796,1201
Dendermonde,31979,7200
Evergem,24128,7846
Lebbeke,13305,3674
Buggenhout,10520,1579
Stekene,12664,-1
Wichelen,8681,1798
Herzele,13169,2131
Maldegem,17034,4598
Nevele,8817,1641
Erpe-Mere,14228,3542
Wachtebeke,5143,917
Lierde,4991,446
Gavere,9492,-1
Laarne,9385,1824
Zele,14260,1953
Nazareth,8399,1505
Deinze,21900,3694
Ninove,27053,4208
Lokeren,27680,4841
Lochristi,16044,2806
Temse,19799,4316
Hamme,17678,3298
